Name,Score,Start Date,End Date,Genre,Rating,Release Date,Run Time (min),Budget (mil),Box Office,Comments,Rewatched,Rewatch Score
Airplane!,6,September 10 2021,September 10 2021,Comedy,PG,July 2 1980,88,3.5,171,,,
Airplane II: The Sequel,5,September 11 2021,September 11 2021,"Comedy, Sci-Fi",PG,December 10 1982,85,15,27.2,,,
Office Space,6,September 12 2021,September 12 2021,Comedy,R,February 19 1999,89,10,12.2,,,
Drive,8,September 12 2021,September 12 2021,"Drama, Crime",R,September 16 2011,100,15,81.4,,,
Blazing Saddles,6,September 13 2021,September 13 2021,"Comedy, Western",R,February 7 1974,93,2.6,119.6,,,
Hidden Figures,6,September 14 2021,September 14 2021,"Drama, Biography, History, BoaTS",PG,December 25 2016,127,25,236.2,,,
Star Wars: Episode I - The Phantom Menace,7,,,"Action, Adventure, Fantasy, Sci-Fi",PG,May 19 1999,133,115,1.027,,4,7
Star Wars: Episode II - Attack of the Clones,6,,,"Action, Adventure, Fantasy, Sci-Fi",PG,May 16 2002,142,115,653.8,,4,6
Molly's Game,7,September 26 2021,September 26 2021,"Drama, Biography, Crime, BoaTS",R,December 25 2017,141,30,59.3,Sorkin dialogue,,
Good Morning Vietnam,8,October 10 2021,October 10 2021,Comedy,R,January 15 1988,121,13,123.9,,,
Star Wars: The Clone Wars,5,October 15 2021,October 15 2021,"Comedy, Action",PG,August 15 2008,98,8.5,68.3,,5,5
School of Rock,6,October 15 2021,October 16 2021,Comedy,PG-13,October 3 2003,109,35,131.3,,2,6
The Intouchables (FR),7,October 22 2021,October 22 2021,"Comedy, Drama",R,November 2 2011,112,10.8,426.6,Psyclone goated recommendation,,
Logan,6,October 23 2021,October 23 2021,"Action, Drama",R,March 3 2017,137,110,619,,,
Billy Madison,5,October 31 2021,October 31 2021,Comedy,PG-13,February 10 1995,89,10,26.4,,,
Eternals,5,November 7 2021,November 7 2021,"Action, Adventure, Drama",PG-13,November 5 2021,157,200,161.7,Let down. Watched with Nick and Jason in Hadley,,
The Suicide Squad,9,November 7 2021,November 7 2021,"Action, Adventure, Comedy",R,August 6 2021,132,185,167.4,Watched with Nick and Jason in Student Union.,,
A Beautiful Mind,6,November 6 2021,November 8 2021,"Biography, Drama, BoaTS",PG-13,December 21 2021,135,58,316.8,,,
Psych 3: This is Gus,7,November 20 2021,November 20 2021,"Comedy, Crime, Mystery",TV-PG,November 18 2021,96,,,Bangs,,
Ferris Bueller's Day Off,10,November 21 2021,November 21 2021,Comedy,PG-13,June 11 1986,103,5,70.7,Watched with Nick in the student union. He loved it so that made me happy.,5,10
Deadpool,8,November 21 2021,November 21 2021,"Action, Adventure, Comedy",R,February 12 2016,108,58,782.6,Watched with Nick in Brooks Hall,,
Untold: The Malice at the Palace,7,November 23 2021,November 23 2021,"Documentary, Crime, Sport",TV-MA,August 10 2021,68,,,,,
Troy,7,November 29 2021,November 29 2021,"Drama, History",R,May 14 2004,163,180,497.4,Watched with Nick at Brooks Hall,,
The Big Lebowski,9,December 9 2021,December 10 2021,"Comedy, Crime",R,March 6 1998,117,15,46.7,Watched with Nick and Jason at Baker Hall,2,9
Monty Python and the Holy Grail,8,December 10 2021,December 10 2021,"Adventure, Comedy, Fantasy",PG,April 3 1975,92,0.4,5,Watched with Nick. Organ music always gets me,1,8
Untold: Breaking Point,8,December 16 2021,December 17 2021,"Documentary, Sport",TV-MA,September 7 2021,68,,,,,
Spider-Man: No Way Home,8,December 17 2021,December 17 2021,"Action, Adventure, Fantasy",PG-13,December 17 2021,148,200,93,Watched with Nick and Jason in Hadley,,
Rain Man,7,December 18 2021,December 19 2021,Drama,R,December 16 1988,134,25,354.8,,,
21 Jump Street,7,December 23 2021,December 24 2021,"Action, Comedy, Crime",R,March 16 2012,109,48,201.6,,,
22 Jump Street,6,December 24 2021,December 26 2021,"Action, Comedy, Crime",R,June 13 2014,112,67.25,331.3,,,
The Matrix: Resurrections,1,December 27 2021,December 27 2021,"Action, Sci-Fi",R,December 22 2021,148,190,153.5,"Watched with Harry, Tre, and Jared. RIP Harry I'll miss you forever <3 :,(",,
Surf's Up,6,December 28 2021,December 28 2021,"Animation, Adventure, Comedy",PG,June 8 2007,85,100,152,,,
War Dogs,7,December 31 2021,December 31 2021,"Biography, Comedy, Crime, BoaTS",R,August 19 2016,114,50,86.2,,,
